Date;Price;Open;High;Low;Vol.
2016-03-10;11.75;11.2;11.85;11.07;0.0
2016-03-11;11.95;11.75;11.95;11.75;180.0
2016-03-12;12.92;11.95;13.45;11.95;830.0
2016-03-13;15.07;12.92;15.07;12.92;1300.0
2016-03-14;12.5;15.07;15.07;11.4;92180.0
2016-03-15;13.06;12.63;13.42;11.98;39730.0
2016-03-16;12.88;13.06;13.89;12.62;19240.0
2016-03-17;10.74;12.58;12.61;10.44;89450.0
2016-03-18;10.74;11.09;11.2;8.34;157370.0
2016-03-19;10.31;10.97;11.1;9.78;67550.0
2016-03-20;10.18;10.55;10.88;9.56;33180.0
2016-03-21;11.95;10.18;12.05;10.14;38860.0
2016-03-22;11.37;11.53;11.97;11.08;26290.0
2016-03-23;12.43;11.37;12.43;11.2;27020.0
2016-03-24;11.2;12.43;12.47;10.67;50800.0
2016-03-25;10.67;11.32;11.35;10.52;87420.0
2016-03-26;11.0;10.67;11.2;10.58;16120.000000000002
2016-03-27;10.4;10.93;10.98;10.17;55810.0
2016-03-28;11.62;10.4;11.94;10.4;77310.0
2016-03-29;11.79;11.78;11.88;11.37;47570.0
2016-03-30;11.85;11.79;12.3;11.44;36960.0
2016-03-31;11.41;11.92;12.02;11.29;32670.0
2016-04-01;11.62;11.41;11.94;11.39;22200.0
2016-04-02;11.61;11.65;11.77;11.43;12170.0
2016-04-03;11.75;11.61;11.76;11.4;18850.0
2016-04-04;11.15;11.6;11.67;10.88;38740.0
2016-04-05;10.4;11.15;11.15;9.7;53390.0
2016-04-06;10.76;10.4;10.96;10.2;40040.0
2016-04-07;10.12;10.76;10.85;9.4;50740.0
2016-04-08;9.71;10.05;10.34;9.6;25970.0
2016-04-09;9.15;9.69;10.2;9.0;64959.99999999999
2016-04-10;8.76;9.15;9.43;7.52;171990.0
2016-04-11;8.68;8.56;8.93;8.01;60280.0
2016-04-12;7.53;8.53;8.54;7.21;63820.0
2016-04-13;8.09;7.48;8.8;6.86;142210.0
2016-04-14;8.46;8.08;8.86;8.0;36150.0
2016-04-15;8.32;8.39;8.69;8.1;30480.0
2016-04-16;8.54;8.23;8.68;8.18;29260.0
2016-04-17;9.46;8.7;10.9;8.61;96050.0
2016-04-18;8.97;9.3;9.55;8.44;37880.0
2016-04-19;8.71;8.97;9.38;8.65;35260.0
2016-04-20;8.61;8.73;9.05;8.35;167710.0
2016-04-21;8.11;8.61;8.8;8.0;45520.0
2016-04-22;7.97;8.23;8.41;7.73;97370.0
2016-04-23;8.46;7.95;8.8;7.81;89570.0
2016-04-24;8.1;8.35;8.5;8.01;52060.0
2016-04-25;7.54;8.05;8.15;7.32;207060.0
2016-04-26;7.5;7.56;7.6;7.12;129270.00000000001
2016-04-27;7.8;7.4;7.99;7.31;90460.0
2016-04-28;7.33;7.73;7.87;7.25;69400.0
2016-04-29;7.52;7.23;7.72;7.19;51160.0
2016-04-30;8.87;7.45;9.36;7.45;267970.0
2016-05-01;8.75;8.74;9.0;8.35;71990.0
2016-05-02;10.0;8.83;10.3;8.79;295380.0
2016-05-03;9.34;10.01;10.01;9.18;128320.0
2016-05-04;9.46;9.38;10.0;9.25;74700.0
2016-05-05;9.79;9.4;10.0;9.3;62440.0
2016-05-06;9.35;9.85;9.98;9.12;92420.0
2016-05-07;9.35;9.45;9.64;9.2;31390.0
2016-05-08;9.5;9.41;9.64;9.0;80090.0
2016-05-09;9.32;9.51;9.65;9.25;77290.0
2016-05-10;9.38;9.31;9.47;9.28;18320.0
2016-05-11;9.89;9.38;9.98;9.3;110310.0
2016-05-12;10.04;9.92;10.47;9.79;142190.0
2016-05-13;10.6;10.09;11.11;10.08;194280.0
2016-05-14;10.16;10.6;10.75;9.71;121860.0
2016-05-15;9.97;10.25;10.42;9.93;42730.0
2016-05-16;11.09;10.01;11.47;10.0;257209.99999999997
2016-05-17;12.08;11.15;12.6;11.1;540970.0
2016-05-18;13.35;12.28;14.4;12.21;420070.0
2016-05-19;14.58;13.4;14.65;13.2;393140.0
2016-05-20;13.79;14.74;14.89;13.31;338690.0
2016-05-21;14.0;13.6;14.0;13.01;209030.0
2016-05-22;14.21;14.06;14.51;13.62;118190.0
2016-05-23;13.42;14.21;14.49;13.32;170090.0
2016-05-24;12.73;13.38;13.82;12.0;437470.0
2016-05-25;12.49;12.84;12.99;11.8;247580.0
2016-05-26;12.48;12.52;13.07;12.13;215640.0
2016-05-27;11.12;12.4;12.43;10.53;645840.0
2016-05-28;11.98;10.99;12.5;10.38;587070.0
2016-05-29;12.41;11.8;12.89;11.78;455110.0
2016-05-30;12.72;12.44;12.81;12.3;122980.0
2016-05-31;14.01;12.78;14.28;12.6;517980.0
2016-06-01;13.85;14.07;14.3;13.46;289630.0
2016-06-02;13.8;13.94;14.03;13.61;155530.0
2016-06-03;13.84;13.82;13.99;13.42;200810.0
2016-06-04;13.81;13.9;13.9;13.4;139120.0
2016-06-05;13.95;13.75;13.97;13.69;54660.0
2016-06-06;14.03;14.0;14.19;13.8;105550.0
2016-06-07;14.5;13.94;14.7;13.88;199890.0
2016-06-08;14.49;14.6;14.89;14.3;257010.0
2016-06-09;14.45;14.51;14.7;14.37;64980.00000000001
2016-06-10;13.97;14.44;14.46;13.56;220150.0
2016-06-11;14.15;13.95;14.28;13.81;109420.0
2016-06-12;15.8;14.3;16.09;14.25;550470.0
2016-06-13;17.73;15.75;17.91;15.7;896990.0
2016-06-14;18.73;17.65;19.41;16.0;1170000.0
2016-06-15;18.45;18.7;18.75;17.55;365420.0
2016-06-16;20.7;18.61;21.1;18.44;1020000.0
2016-06-17;15.61;20.86;21.69;11.51;4720000.0
2016-06-18;11.41;15.19;15.3;10.13;3040000.0
2016-06-19;12.43;10.76;13.36;10.55;1140000.0
2016-06-20;11.9;12.33;12.49;10.51;1110000.0
2016-06-21;12.94;11.67;12.98;11.2;644710.0
2016-06-22;13.25;13.75;15.9;12.95;1830000.0
2016-06-23;13.75;13.26;14.0;12.5;521610.0
2016-06-24;14.29;13.76;14.46;13.1;551440.0
2016-06-25;14.31;14.39;14.84;13.91;262840.0
2016-06-26;13.75;14.22;14.4;13.53;213870.0
2016-06-27;13.96;13.71;14.19;13.68;135030.0
2016-06-28;12.22;13.95;14.07;11.51;896160.0
2016-06-29;12.77;12.08;13.05;11.57;427250.0
2016-06-30;12.5;12.64;12.88;12.2;213190.0
2016-07-01;12.35;12.5;12.58;11.74;302720.0
2016-07-02;12.14;12.17;12.2;11.95;86170.0
2016-07-03;11.78;12.06;12.11;11.56;196780.0
2016-07-04;11.42;11.65;11.85;11.35;147790.0
2016-07-05;10.53;11.42;11.49;9.35;1120000.0
2016-07-06;10.55;10.37;11.12;10.22;327600.0
2016-07-07;10.14;10.58;10.67;9.73;291460.0
2016-07-08;11.31;10.16;11.65;9.9;533970.0
2016-07-09;10.9;11.37;11.43;10.4;431160.0
2016-07-10;10.95;10.83;11.02;10.74;75850.0
2016-07-11;10.51;10.95;11.09;10.2;287840.0
2016-07-12;10.55;10.48;10.8;10.4;143680.0
2016-07-13;10.47;10.55;10.6;10.43;62850.0
2016-07-14;11.6;10.7;11.79;10.69;419070.0
2016-07-15;11.93;11.5;12.55;11.37;600620.0
2016-07-16;11.72;11.95;12.05;11.72;127930.0
2016-07-17;11.24;11.72;11.74;11.02;575470.0
2016-07-18;11.04;11.31;11.75;11.01;252340.0
2016-07-19;11.75;11.09;12.24;11.07;678520.0
